requirement_id,application,source_issue_count,priority,business_owner,acceptance_criteria_count,planned_increment
REQ-067,Trade Support,17,Medium,Operations,8,Increment 3
REQ-068,Trade Support,8,Medium,Operations,8,Increment 1
REQ-069,Compliance Workflow,15,Low,Compliance,9,Increment 2
REQ-070,Public Finance CRM,3,High,Sales Support,5,Increment 4
REQ-071,Compliance Workflow,17,High,Public Finance,8,Increment 2
REQ-072,Data Entitlements,12,Medium,Compliance,4,Increment 4
REQ-073,Client Reporting,13,Low,Public Finance,4,Increment 4
REQ-074,Public Finance CRM,15,Low,Operations,7,Increment 3
REQ-075,Public Finance CRM,6,Low,Compliance,6,Increment 2
REQ-076,Public Finance CRM,3,Medium,Financial Advisors,7,Increment 3
REQ-077,Compliance Workflow,7,High,Financial Advisors,9,Increment 4
REQ-078,Client Reporting,4,Low,Sales Support,7,Increment 1
REQ-079,Advisor Portal,18,Medium,Public Finance,7,Increment 2
REQ-080,Data Entitlements,9,Medium,Public Finance,6,Increment 1
REQ-081,Data Entitlements,12,Medium,Public Finance,7,Increment 4
REQ-082,Data Entitlements,18,Medium,Financial Advisors,7,Increment 3
REQ-083,Data Entitlements,15,Medium,Operations,4,Increment 4
REQ-084,Data Entitlements,6,Low,Financial Advisors,8,Increment 1
REQ-085,Advisor Portal,18,Medium,Operations,8,Increment 3
REQ-086,Client Reporting,9,High,Financial Advisors,7,Increment 1
REQ-087,Advisor Portal,8,Critical,Public Finance,3,Increment 2
REQ-088,Data Entitlements,7,Critical,Public Finance,6,Increment 1
REQ-089,Public Finance CRM,15,Medium,Operations,8,Increment 3
REQ-090,Client Reporting,12,High,Public Finance,6,Increment 4
REQ-091,Data Entitlements,3,Medium,Operations,6,Increment 3
REQ-092,Advisor Portal,13,High,Compliance,9,Increment 4
REQ-093,Client Reporting,5,Medium,Sales Support,5,Increment 4
REQ-094,Client Reporting,2,Critical,Compliance,9,Increment 1
REQ-095,Public Finance CRM,17,Medium,Operations,4,Increment 1
REQ-096,Client Reporting,16,Medium,Financial Advisors,7,Increment 4
REQ-097,Public Finance CRM,3,High,Compliance,4,Increment 4
REQ-098,Advisor Portal,5,Medium,Sales Support,9,Increment 1
REQ-099,Client Reporting,18,Critical,Financial Advisors,6,Increment 3
REQ-100,Compliance Workflow,14,Medium,Operations,5,Increment 1
REQ-101,Client Reporting,18,High,Compliance,5,Increment 2
REQ-102,Public Finance CRM,3,Medium,Compliance,3,Increment 2
REQ-103,Trade Support,4,Medium,Financial Advisors,3,Increment 4
REQ-104,Client Reporting,7,Critical,Financial Advisors,4,Increment 3
REQ-105,Trade Support,17,Medium,Operations,3,Increment 2
REQ-106,Trade Support,6,Medium,Sales Support,7,Increment 1
REQ-107,Client Reporting,16,High,Compliance,3,Increment 3
REQ-108,Client Reporting,5,Medium,Public Finance,6,Increment 4
REQ-109,Advisor Portal,4,Critical,Public Finance,6,Increment 4
REQ-110,Trade Support,18,Low,Financial Advisors,3,Increment 1
REQ-111,Advisor Portal,7,Medium,Financial Advisors,6,Increment 3
REQ-112,Client Reporting,10,Critical,Financial Advisors,7,Increment 4
REQ-113,Compliance Workflow,5,Critical,Financial Advisors,4,Increment 3
REQ-114,Data Entitlements,6,Medium,Operations,5,Increment 1
REQ-115,Advisor Portal,18,High,Public Finance,7,Increment 1
REQ-116,Trade Support,11,High,Financial Advisors,9,Increment 4
REQ-117,Trade Support,8,Medium,Compliance,6,Increment 2
REQ-118,Trade Support,5,High,Sales Support,9,Increment 1
REQ-119,Data Entitlements,6,High,Sales Support,4,Increment 1
REQ-120,Compliance Workflow,17,Low,Operations,7,Increment 2
